source,target,weight,label
David Guetta,Fetty Wap,1,collaboration
David Guetta,Flo Rida,2,collaboration
David Guetta,French Montana,5,collaboration
David Guetta,GLOWINTHEDARK,3,collaboration
David Guetta,Galantis,1,collaboration
David Guetta,Harrison,1,collaboration
David Guetta,Infa‐Red,1,collaboration
David Guetta,JD Davis,1,collaboration
David Guetta,Jack Back,1,collaboration
David Guetta,Jamie Scott,3,collaboration
David Guetta,Jason Derulo,2,collaboration
David Guetta,Joel Corry,4,collaboration
David Guetta,John Newman,1,collaboration
David Guetta,Justin Bieber,9,collaboration
David Guetta,Kaz James,1,collaboration
David Guetta,Kelly Rowland,2,collaboration
David Guetta,Kid Cudi,2,collaboration
David Guetta,Kiiara,1,collaboration
David Guetta,LMFAO,1,collaboration
David Guetta,Lanie Gardner,1,collaboration
David Guetta,Lil Wayne,2,collaboration
David Guetta,Little Mix,1,collaboration
David Guetta,Loote,1,collaboration
David Guetta,Lovespeake,1,collaboration
David Guetta,Ludacris,3,collaboration
David Guetta,MAGIC!,1,collaboration
David Guetta,MORTEN,6,collaboration
David Guetta,Martin Garrix,4,collaboration
David Guetta,Martin Solveig,1,collaboration
David Guetta,Max Elto,1,collaboration
David Guetta,Miss Kittin,1,collaboration
David Guetta,MistaJam,1,collaboration
David Guetta,Moné,1,collaboration
David Guetta,Natti Natasha,2,collaboration
David Guetta,Netsky,1,collaboration
David Guetta,Ne‐Yo,1,collaboration
David Guetta,Nicki Minaj,6,collaboration
David Guetta,Nicky Romero,3,collaboration
David Guetta,Niles Mason,1,collaboration
David Guetta,RAYE,5,collaboration
David Guetta,Remy Ma,1,collaboration
David Guetta,Rihanna,2,collaboration
David Guetta,Robert Owens,1,collaboration
David Guetta,Robin Schulz,2,collaboration
David Guetta,Roland Clark,1,collaboration
David Guetta,Romy Dya,3,collaboration
David Guetta,Sam Martin,2,collaboration
David Guetta,Sam Ryder,1,collaboration
David Guetta,Sean Paul,2,collaboration
David Guetta,Sebastian Ingrosso,1,collaboration
David Guetta,Showtek,3,collaboration
David Guetta,Sia,8,collaboration
David Guetta,Sigala,1,collaboration
David Guetta,Skylar Grey,1,collaboration
David Guetta,Snoop Dogg,2,collaboration
David Guetta,Sonny Wilson,1,collaboration
David Guetta,Steve Angello,1,collaboration
David Guetta,Taio Cruz,1,collaboration
David Guetta,The Egg,1,collaboration
David Guetta,Tocadisco,1,collaboration
David Guetta,Tom Staar,1,collaboration
David Guetta,Ty Dolla $ign,1,collaboration
David Guetta,Usher,3,collaboration
David Guetta,Vassy,1,collaboration
David Guetta,Willy William,2,collaboration
David Guetta,Zara Larsson,2,collaboration
Hardwell,4 Strings,1,collaboration
Hardwell,Amba Shepherd,1,collaboration
Hardwell,Ambush,1,collaboration
Hardwell,Austin Mahone,1,collaboration
Hardwell,Bizzey,1,collaboration
Hardwell,Blasterjaxx,2,collaboration
Hardwell,Bright Lights,1,collaboration
Hardwell,Cam Meekins,1,collaboration
Hardwell,Chivv,1,collaboration
Hardwell,Chris Jones,1,collaboration
Hardwell,Chuckie,1,collaboration
Hardwell,Conor Maynard,1,collaboration
Hardwell,Dannic,3,collaboration
Hardwell,Deorro,1,collaboration
Hardwell,Dyro,1,collaboration
Hardwell,Fatman Scoop,2,collaboration
Hardwell,Franky Rizardo,1,collaboration
Hardwell,Funkadelic,1,collaboration
Hardwell,Hardwell,72,collaboration
Hardwell,Haris,1,collaboration
Hardwell,Harrison,1,collaboration
Hardwell,Henry Fong,1,collaboration
Hardwell,I-Fan,1,collaboration
Hardwell,Jake Reese,2,collaboration
Hardwell,Joey Dale,1,collaboration
Hardwell,Joeysuki,1,collaboration
Hardwell,KSHMR,1,collaboration
Hardwell,Kaaze,1,collaboration
Hardwell,Kelli‐Leigh,1,collaboration
Hardwell,KiFi,1,collaboration
Hardwell,Lil Jon,1,collaboration
Hardwell,Lil’ Kleine,1,collaboration
Hardwell,Luciana,2,collaboration
Hardwell,MAKJ,2,collaboration
Hardwell,Maddix,3,collaboration
Hardwell,Matthew Koma,3,collaboration
Hardwell,Mitch Crown,1,collaboration
Hardwell,Mr. Vegas,1,collaboration
Hardwell,Nicky Romero,1,collaboration
Hardwell,Quintino,3,collaboration
Hardwell,R3HAB,1,collaboration
Hardwell,Red Carpet,1,collaboration
Hardwell,Richie Loop,1,collaboration
Hardwell,Showtek,1,collaboration
Hardwell,Snoop Dogg,1,collaboration
Hardwell,Sub Zero Project,1,collaboration
Hardwell,Suyano,1,collaboration
Hardwell,Thomas Newson,1,collaboration
Hardwell,Timmy Trumpet,1,collaboration
Hardwell,Trevor Guthrie,3,collaboration
Hardwell,VINAI,1,collaboration
Hardwell,W&W,4,collaboration
Hardwell,Wildstylez,1,collaboration
Miss K8,Angerfist,1,collaboration
Miss K8,Miss K8,3,collaboration
Miss Kittin,ANNA,1,collaboration
Miss Kittin,David Guetta,1,collaboration
Miss Kittin,Felix da Housecat,1,collaboration
Miss Kittin,Golden Boy,1,collaboration
Miss Kittin,Guy Gerber,1,collaboration
Miss Kittin,Kris Menace,1,collaboration
Miss Kittin,Miss Kittin,7,collaboration
Miss Monique,Miss Monique,10,collaboration
Miss Monique,The Alexsander,1,collaboration
Miss Monique,Vania,1,collaboration
Nina Kraviz,Bodycode,1,collaboration
Nina Kraviz,Nina Kraviz,5,collaboration
Nora en Pure,Ashibah,1,collaboration
Nora en Pure,Nora en Pure,19,collaboration
Nora en Pure,Passenger 10,1,collaboration
Nora en Pure,Penny Foster,1,collaboration
Nora en Pure,Redondo,1,collaboration
Paul Elstak,Attic & Stylzz,1,collaboration
Paul Elstak,DJ Dione,1,collaboration
Paul Elstak,DJ Distortion,1,collaboration
Paul Elstak,DJ Panic,2,collaboration
Paul Elstak,DJ Rob,1,collaboration
Paul Elstak,Firestone,2,collaboration
Paul Elstak,Jantine,1,collaboration
Paul Elstak,Lenny Dee,2,collaboration
Paul Elstak,MC Hughie Babe,1,collaboration
Paul Elstak,New Kids,1,collaboration
Paul Elstak,Paul Elstak,35,collaboration
Paul Elstak,Psycho Boys Club,1,collaboration
Paul Elstak,Restrained,1,collaboration
Paul Elstak,Scott Brown,1,collaboration
Paul Elstak,Teenage Warning,2,collaboration
Paul Elstak,The Stunned Guys,1,collaboration
Paul Elstak,Tommyknocker,1,collaboration
Paul Elstak,Urban Menace,1,collaboration
Scott Brown,Bridson,1,collaboration
Scott Brown,Brisk & Trixxy,1,collaboration
Scott Brown,Ceci,1,collaboration
Scott Brown,DJ Brisk,4,collaboration
Scott Brown,DJ Neophyte,2,collaboration
Scott Brown,DJ Rab S,1,collaboration
Scott Brown,Ganah,1,collaboration
Scott Brown,Gillian Tennant,1,collaboration
Scott Brown,Kelly C,2,collaboration
Scott Brown,Marc Smith,1,collaboration
Scott Brown,Mark Smith,1,collaboration
Scott Brown,Paul Elstak,1,collaboration
Scott Brown,Plus System,1,collaboration
Scott Brown,Re-Style,1,collaboration
Scott Brown,Scott Brown,44,collaboration
Scott Brown,Si Thompson,1,collaboration
Scott Brown,Special D.,2,collaboration
Scott Brown,Ultrabeat,1,collaboration
Steve Aoki,2 Chainz,1,collaboration
Steve Aoki,AJ Mitchell,1,collaboration
Steve Aoki,Adam Lambert,1,collaboration
Steve Aoki,Afrojack,1,collaboration
Steve Aoki,Alan Walker,1,collaboration
Steve Aoki,Alok,1,collaboration
Steve Aoki,Angger Dimas,2,collaboration
Steve Aoki,BTS,5,collaboration
Steve Aoki,Backstreet Boys,2,collaboration
Steve Aoki,Boehm,1,collaboration
Steve Aoki,Chiddy Bang,1,collaboration
Steve Aoki,Chris Lake,4,collaboration
Steve Aoki,DJ Diesel,1,collaboration
Steve Aoki,DVBBS,1,collaboration
Steve Aoki,Daddy Yankee,1,collaboration
Steve Aoki,Dagny,1,collaboration
Steve Aoki,Darren Criss,1,collaboration
Steve Aoki,Deorro,2,collaboration
Steve Aoki,Diana Gordon,1,collaboration
Steve Aoki,Dimitri Vegas & Like Mike,1,collaboration
Steve Aoki,Diplo,1,collaboration
Steve Aoki,Don Diablo,1,collaboration
Steve Aoki,Dr. Phunk,1,collaboration
Steve Aoki,Elvis Crespo,1,collaboration
Steve Aoki,Fall Out Boy,1,collaboration
Steve Aoki,Felix Jaehn,1,collaboration
Steve Aoki,Flux Pavilion,1,collaboration
Steve Aoki,Frank Walker,1,collaboration
Steve Aoki,ISÁK,1,collaboration
Steve Aoki,Iggy Azalea,1,collaboration
Steve Aoki,Ina Wroldsen,1,collaboration
Steve Aoki,Kid Ink,2,collaboration
Steve Aoki,Kiiara,1,collaboration
Steve Aoki,Kris Kiss,1,collaboration
Steve Aoki,LAY,1,collaboration
Steve Aoki,Laidback Luke,1,collaboration
Steve Aoki,Lil Jon,1,collaboration
Steve Aoki,Linkin Park,3,collaboration
Steve Aoki,Louis Tomlinson,2,collaboration
Steve Aoki,Lush & Simon,1,collaboration
Steve Aoki,MAKJ,2,collaboration
Steve Aoki,MONSTA X,2,collaboration
Steve Aoki,Marnik,1,collaboration
Steve Aoki,Matthew Koma,1,collaboration
Steve Aoki,Max Styler,1,collaboration
Steve Aoki,Miss Palmer,1,collaboration
Steve Aoki,Moxie Raia,2,collaboration
Steve Aoki,My Name Is Kay,1,collaboration
Steve Aoki,NERVO,1,collaboration
Steve Aoki,Nicholas Furlong,2,collaboration
Steve Aoki,Nicky Romero,1,collaboration
Steve Aoki,Play-N-Skillz,1,collaboration
Steve Aoki,Quintino,1,collaboration
Steve Aoki,R3HAB,1,collaboration
Steve Aoki,RUNN,1,collaboration
Steve Aoki,Rich the Kid,1,collaboration
Steve Aoki,Rivers Cuomo,2,collaboration
Steve Aoki,Rune RK,2,collaboration
Steve Aoki,SEKAI NO OWARI,1,collaboration
Steve Aoki,SHAED,1,collaboration
Steve Aoki,Sherry St. Germain,1,collaboration
Steve Aoki,Showtek,1,collaboration
Steve Aoki,Sidney Samson,1,collaboration
Steve Aoki,Steve Aoki,72,collaboration
Steve Aoki,Sting,1,collaboration
Steve Aoki,The Bloody Beetroots,2,collaboration
Steve Aoki,Timmy Trumpet,1,collaboration
Steve Aoki,Tiësto,1,collaboration
Steve Aoki,Tony Junior,1,collaboration
Steve Aoki,Tujamo,4,collaboration
Steve Aoki,Ummet Ozcan,1,collaboration
Steve Aoki,Waka Flocka Flame,2,collaboration
Steve Aoki,Walk off the Earth,1,collaboration
Steve Aoki,Yellow Claw,1,collaboration
Steve Aoki,Young Egypt,1,collaboration
Steve Aoki,blink‐182,1,collaboration
Steve Aoki,iLoveMakonnen,1,collaboration
Steve Aoki,will.i.am,1,collaboration
Tiësto,Allure,3,collaboration
Tiësto,Alvaro,1,collaboration
Tiësto,Armin van Buuren,1,collaboration
Tiësto,Ava Max,1,collaboration
Tiësto,BT,3,collaboration
Tiësto,Becky Hill,1,collaboration
Tiësto,Black Eyed Peas,1,collaboration
Tiësto,Bobby Puma,1,collaboration
Tiësto,Bright Sparks,2,collaboration
Tiësto,Busta Rhymes,1,collaboration
Tiësto,C.C. Sheffield,1,collaboration
Tiësto,Christian Burns,1,collaboration
Tiësto,DallasK,1,collaboration
Tiësto,Delayers,1,collaboration
Tiësto,Dino Lenny,1,collaboration
Tiësto,Diplo,2,collaboration
Tiësto,Disco Fries,1,collaboration
Tiësto,Dzeko,3,collaboration
Tiësto,Farruko,1,collaboration
Tiësto,Flo Rida,2,collaboration
Tiësto,Gucci Mane,2,collaboration
Tiësto,Haley Gibby,1,collaboration
Tiësto,Icona Pop,1,collaboration
Tiësto,JES,1,collaboration
Tiësto,Jonas Blue,2,collaboration
Tiësto,Julie Thompson,1,collaboration
Tiësto,Junkie XL,1,collaboration
Tiësto,Justin Caruso,1,collaboration
Tiësto,KAROL G,1,collaboration
Tiësto,KSHMR,1,collaboration
Tiësto,Kaskade,1,collaboration
Tiësto,Kelli‐Leigh,1,collaboration
Tiësto,Killfake,1,collaboration
Tiësto,Kirsty Hawkshaw,2,collaboration
Tiësto,Kyler England,1,collaboration
Tiësto,Lena Leon,1,collaboration
Tiësto,Lucas & Steve,1,collaboration
Tiësto,Luciana,1,collaboration
Tiësto,MOTi,1,collaboration
Tiësto,Major League,1,collaboration
Tiësto,Mark Knight,1,collaboration
Tiësto,Martin Garrix,1,collaboration
Tiësto,Matisse & Sadko,1,collaboration
Tiësto,Matthew Koma,1,collaboration
Tiësto,Maxi Jazz,1,collaboration
Tiësto,Mike Williams,1,collaboration
Tiësto,Moska,1,collaboration
Tiësto,My Name Is Kay,1,collaboration
Tiësto,Nari & Milani,1,collaboration
Tiësto,Natalie La Rose,2,collaboration
Tiësto,Nelly Furtado,1,collaboration
Tiësto,Nicola Hitchcock,1,collaboration
Tiësto,Oliver Heldens,2,collaboration
Tiësto,Post Malone,2,collaboration
Tiësto,Preme,2,collaboration
Tiësto,Rita Ora,2,collaboration
Tiësto,Sean Kingston,2,collaboration
Tiësto,Sevenn,2,collaboration
Tiësto,Showtek,1,collaboration
Tiësto,Steve Aoki,1,collaboration
Tiësto,Stevie Appleton,1,collaboration
Tiësto,Suzanne Palmer,1,collaboration
Tiësto,Tegan and Sara,1,collaboration
Tiësto,The Chainsmokers,1,collaboration
Tiësto,Three 6 Mafia,2,collaboration
Tiësto,Tiësto,98,collaboration
Tiësto,Tomhio,1,collaboration
Tiësto,Twoloud,1,collaboration
Tiësto,Ty Dolla $ign,1,collaboration
Tiësto,Ummet Ozcan,2,collaboration
Tiësto,VER:WEST,1,collaboration
Tiësto,Vassy,1,collaboration
Tiësto,Wolfgang Gartner,1,collaboration
